CmpCode^DistrCode^CustomerCode^RouteCode
DIL^0022000004^00220000040022000004CHN0CH00085668^OB02
DIL^0022000004^00220000040022000004CHN0CH00085668^OB050
DIL^0022000004^00220000040022000004CHN0CH00094710^OB033
DIL^0022000004^00220000040022000004CHN0CH00094710^OB051
DIL^0022000004^00220000040022000004CHN0CH00094737^OB012
DIL^0022000004^00220000040022000004CHN0CH00094737^OB060
DIL^0022000004^00220000040022000004CHN0CH00096980^OB031
DIL^0022000004^00220000040022000004CHN0CH00096981^OB039
DIL^0022000004^00220000040022000004CHN0CH00096981^OB045
DIL^0022000004^00220000040022000004CHN0CH00116803^OB029
DIL^0022000004^00220000040022000004CHN0CH00116803^OB053
DIL^0022000004^00220000040022000004CHN0CH00116805^OB026
DIL^0022000004^00220000040022000004CHN0CH00116805^OB071
DIL^0022000004^00220000040022000004CHN0CH00138305^OB028
DIL^0022000004^00220000040022000004CHN0CH00138306^OB026
DIL^0022000004^00220000040022000004CHN0CH00138306^OB044
DIL^0022000004^00220000040022000004CHN0CH00187582^0B13
DIL^0022000004^00220000040022000004CHN0CH00187582^OB020
DIL^0022000004^00220000040022000004CHN0CH00187585^OB012
DIL^0022000004^00220000040022000004CHN0CH00187585^OB064
DIL^0022000004^00220000040022000004CHN0CH00187588^OB035
DIL^0022000004^00220000040022000004CHN0CH00204102^OB042
DIL^0022000004^00220000040022000004CHN0CH00209836^OB045
DIL^0022000004^00220000040022000004CHN0CH00209836^OB09
DIL^0022000004^00220000040022000004CHN0CH00209837^OB07
DIL^0022000004^00220000040022000004CHN0CH00235074^OB061
DIL^0022000004^00220000040022000004CHN0CH00235075^OB064
DIL^0022000004^00220000040022000004CHN0CH00235076^OB061
DIL^0022000004^00220000040022000004CHN0CH00235077^OB061
DIL^0022000004^00220000040022000004CHN0CH00239590^OB050
DIL^0022000004^00220000040022000004CHN0CH00239590^OB08
DIL^0022000004^00220000040022000004CHN0CH00239591^OB010
DIL^0022000004^00220000040022000004CHN0CH00239591^OB052
DIL^0022000004^00220000040022000004CHN0CH00248092^OB026
DIL^0022000004^00220000040022000004CHN0CH00248092^OB038
DIL^0022000004^00220000040022000004CHN0CH00248092^OB044
DIL^0022000004^00220000040022000004CHN0CH00248092^OB071
DIL^0022000004^00220000040022000004CHN0CH00248094^OB031
DIL^0022000004^00220000040022000004CHN0CH00258272^OB020
DIL^0022000004^00220000040022000004CHN0CH00272378^OB021
DIL^0022000004^00220000040022000004CHN0CH00272378^OB063
DIL^0022000004^00220000040022000004CHN0CH00272379^OB066
DIL^0022000004^00220000040022000004CHN0CH00272380^OB066
DIL^0022000004^00220000040022000004CHN0CH00272382^OB019
DIL^0022000004^00220000040022000004CHN0CH00272382^OB333
DIL^0022000004^00220000040022000004CHN0CH00272383^OB019
DIL^0022000004^00220000040022000004CHN0CH00272383^OB333
DIL^0022000004^00220000040022000004CHN0CH00272384^OB019
DIL^0022000004^00220000040022000004CHN0CH00272384^OB333
DIL^0022000004^00220000040022000004CHN0CH00272385^OB025
DIL^0022000004^00220000040022000004CHN0CH00272385^OB061
DIL^0022000004^00220000040022000004CHN0CH00290618^OB069
DIL^0022000004^00220000040022000004CHN0CH00290619^OB035
DIL^0022000004^00220000040022000004CHN0CH00290620^OB035
DIL^0022000004^00220000040022000004CHN0CH00290621^OB045
DIL^0022000004^00220000040022000004CHN0CH00290621^OB09
DIL^0022000004^00220000040022000004CHN0CH00290622^OB022
DIL^0022000004^00220000040022000004CHN0CH00290623^OB040
DIL^0022000004^00220000040022000004CHN0CH00290623^OB046
DIL^0022000004^00220000040022000004CHN0CH00290624^OB026
DIL^0022000004^00220000040022000004CHN0CH00290624^OB044
DIL^0022000004^00220000040022000004CHN0CH00290625^OB025
DIL^0022000004^00220000040022000004CHN0CH00290625^OB061
DIL^0022000004^00220000040022000004CHN0CH00314326^OB030
DIL^0022000004^00220000040022000004CHN0CH00314326^OB040
DIL^0022000004^00220000040022000004CHN0CH00314326^OB046
DIL^0022000004^00220000040022000004CHN0CH00319146^OB09
DIL^0022000004^00220000040022000004CHN0CH00319147^OB021
DIL^0022000004^00220000040022000004CHN0CH00319148^4563
DIL^0022000004^00220000040022000004CHN0CH00319148^OB024
DIL^0022000004^00220000040022000004CHN0CH00319149^4563
DIL^0022000004^00220000040022000004CHN0CH00319149^OB024
DIL^0022000004^00220000040022000004CHN0CH00319150^4563
DIL^0022000004^00220000040022000004CHN0CH00319150^OB024
DIL^0022000004^00220000040022000004CHN0CH00319151^OB024
DIL^0022000004^00220000040022000004CHN0CH00319152^4563
