CmpCode^DistrCode^LOBCode
DIL^0022000004^F0
DIL^0022000004^F1
DIL^0022000004^F2
DIL^0022000004^F3
DIL^0022000004^F4
DIL^0022000004^F5
DIL^0022000004^F6
DIL^0022000004^F7
DIL^0022000004^F8
DIL^0022000004^F9
DIL^0022000004^H3
