CmpCode^SchemeCode^ProdCode^ProdName
DIL^CHP000486484^F088100G^Almond Oil 100m free
DIL^CHP000486484^FA015010^Dabur Balm Double Action 10 Gm
DIL^CHP000486484^FA016009^Dabur Balm Strong 9 Gm
DIL^CHP000486484^FA016010^Dabur Balm Strong 10 gm
DIL^CHP000486484^FA023030^Juri-tap 30 Tablets
DIL^CHP000486484^FA023060^Juri-tap 60 Tablets
DIL^CHP000486484^FA025030^Juri-Tap 30 ml
DIL^CHP000486484^FA026060^Juri-Tap 60 ml
DIL^CHP000486484^FA056003^Honitus Day&Night-Cold & Flu 3Tab Sample
DIL^CHP000486484^FA056009^Honitus Day & Night - Cold & Flu 9 Tabs
DIL^CHP000486484^FA057300^Honitus Cough Drops Clove 300 Jar
DIL^CHP000486484^FA058300^HCD Ginger 150+Lemon 100+Tulsi 50 (300)
DIL^CHP000486484^FA058500^HCD Ginger 250+Lemon 150+Tulsi 100 (500)
DIL^CHP000486484^FA058900^HCD Ginger 450+Lemon 250+Tulsi 200 (900)
DIL^CHP000486484^FA059100^Honitus Cough Drops Tulsi 100's Jar
DIL^CHP000486484^FA059250^HCD-Tulsi 100+Lemon 100+Menthol 50 (250)
DIL^CHP000486484^FA059300^Honitus Cough Drops Tulsi 300's Jar
DIL^CHP000486484^FA06005P^Honitus Cough Drops Lemon 5 Pouch
DIL^CHP000486484^FA060100^Honitus Cough Drops Lemon 100 Jar
DIL^CHP000486484^FA06010P^Honitus Cough Drops Lemon 10 Pouch
DIL^CHP000486484^FA06010S^Honitus Cough Drops Lemon 100 Sq Pouch
DIL^CHP000486484^FA060250^Honitus Cough Drops 250'S Lemon Bag
DIL^CHP000486484^FA06025J^Honitus Throat Drops Lemon 250 Jar
DIL^CHP000486484^FA06025S^Honitus Cough Drops Lemon 250 Sq Pouch
DIL^CHP000486484^FA060300^Honitus Throat Drops Lemon 300 Jar
DIL^CHP000486484^FA06105P^Honitus Cough Drops Ginger 5 Pouch
DIL^CHP000486484^FA061100^Honitus Cough Drops Ginger 100 Jar
DIL^CHP000486484^FA06110P^Honitus Cough Drops Ginger 10 Pouch
DIL^CHP000486484^FA06110S^Honitus Cough Drops Ginger 100 Sq Pouch
DIL^CHP000486484^FA061250^Honitus Cough Drops 250'S Ginger Bag
DIL^CHP000486484^FA06125J^Honitus Throat Drops Ginger 250 Jar
DIL^CHP000486484^FA06125S^Honitus Cough Drops Ginger 250 Sq Pouch
DIL^CHP000486484^FA061300^Honitus Cough Drop Ginger 300 Jar
DIL^CHP000486484^FA062100^Honitus Menthol Drops 100 Jar
DIL^CHP000486484^FA06210P^Honitus Cough Drops Menthol 10 Pouch
DIL^CHP000486484^FA062250^Honitus Cough Drops 250'S Bag Menthol
DIL^CHP000486484^FA06225J^Honitus Throat Drops Menthol 250 Jar
DIL^CHP000486484^FA062300^HCD Menthol 300's Jar
DIL^CHP000486484^FA063002^Honitus Mulethi Power Tablets 2 Tab
DIL^CHP000486484^FA063004^Honitus Mulethi Power Tablets 4 Tab
DIL^CHP000486484^FA064100^Honitus Cough Drops Honi Orange 100 Sq
DIL^CHP000486484^FA06410J^Honitus Cough Drops Honi Orange 100 Jar
DIL^CHP000486484^FA06425J^Honitus Cough Drops Honi Orange 250 Jar
DIL^CHP000486484^FA064300^HCD Orange 300 Jar
DIL^CHP000486484^FA065100^Honitus Cough Drops Honi Mint 100 Sq
DIL^CHP000486484^FA065250^Honitus Cough Drops Honi Mint 250 Jar
DIL^CHP000486484^FA066500^Honitus Lozenges 500s Ginger Lemon Jar
DIL^CHP000486484^FA06650J^Honitus Lozenges 500 Ginger Lemon Jar
DIL^CHP000486484^FA067300^Honitus Lozenges 300's Honey Ginger Jar
